 2026-07-29 12:39:14 container,info,debug [CONTAINER]: postgres: *** start
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: *** started PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin GOSU_VERSION=1.19 LANG=en_US.utf8 PG_MAJOR=17 PG_VERSION=17.10 PG_SHA256=078a03516dcdbdb705fecaf415ea3d13a956c589e46f09fed68a06fb00598c90 DOCKER_PG_LLVM_DEPS=llvm21-dev ttclang21 PGDATA=/var/lib/postgresql/data/pgdata POSTGRES_DB=fastadhunter POSTGRES_PASSWORD=0penGate5%! POSTGRES_USER=fah POSTGRES_INITDB_ARGS=--encoding='UTF8' --lc-collate='C' --lc-ctype='C' TZ=Europe/Bucharest docker-entrypoint.sh postgres
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: PostgreSQL Database directory appears to contain a database; Skipping initialization
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 2026-07-29 12:39:15.777 EEST [1] LOG:  starting PostgreSQL 17.10 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 2026-07-29 12:39:15.777 EEST [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 2026-07-29 12:39:15.777 EEST [1] LOG:  listening on IPv6 address "::", port 5432
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 2026-07-29 12:39:15.781 EEST [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 2026-07-29 12:39:15.789 EEST [24] LOG:  database system was shut down at 2026-07-29 12:38:56 EEST
 2026-07-29 12:39:15 container,info,debug [CONTAINER]: postgres: 2026-07-29 12:39:15.818 EEST [1] LOG:  database system is ready to accept connections
 2026-07-29 12:39:16 container,info,debug [CONTAINER]: fastadhunter: *** start
 2026-07-29 12:39:16 container,info,debug [CONTAINER]: fastadhunter: *** started PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin SSL_CERT_FILE=/etc/ssl/certs/ca-certificates.crt TZ=Europe/Bucharest /fastadhunter
 2026-07-29 12:39:16 container,info,debug [CONTAINER]: fastadhunter: 2026-07-29T09:39:16.476555Z  INFO fastadhunter: fastadhunter starting config_path=/config/fastadhunter.toml data_dir=/data mode=Dns
 2026-07-29 12:39:18 container,info,debug [CONTAINER]: fastadhunter: 2026-07-29T09:39:18.739476Z  INFO fastadhunter: ruleset compiled from cache rules=702333
 2026-07-29 12:39:18 container,info,debug [CONTAINER]: fastadhunter: 2026-07-29T09:39:18.754220Z  INFO fastadhunter: DNS listeners bound udp=[::]:53 tcp=[::]:53
